Year,Organization Name,Organization Type,Description of Data Breach,Country,Financial Impacts,Reutational impacts,Method of Breach,Source Of News
2017,Sabre Corporation,Technology,Travel booking system hacked,Global,$25 million,Moderate,Cyberattack,Company disclosure
2017,Equifax,Financial Services,Additional data breach affecting 2.5 million more customers,USA,$150 million,High,Cyberattack,Company disclosure
2017,Kotak Mahindra Bank,Financial Services,Payment card details compromised in a cyber attack,India,"$3,400,000",High,Cyber attack,Economic Times
2017,ABTA,Travel,Customer data exposed online,UK,"$20,000",Low,Website vulnerability,ABTA statement
2017,Brooks Brothers,Retail,Payment card data exposed,USA,$10 million,Moderate,Point-of-sale compromise,Company statement
2017,Madison Square Garden,Entertainment,Payment card information stolen,USA,$15 million,Moderate,Point-of-sale compromise,Company statement
2017,Blue Cross Blue Shield,Healthcare,Data of 3.5 million members breached,USA,$30 million,High,Cyberattack,Company disclosure
2018,Facebook,Technology,Cambridge Analytica scandal,USA,$5 billion,High,Data misuse,Media reports
2018,Marriott International,Hospitality,Data of 500 million guests exposed,Global,$200 million,High,Cyberattack,Company disclosure
2018,Quora,Technology,Data of 100 million users breached,USA,$10 million,High,Unauthorized access,Company disclosure
2018,Dr. Reddy's Laboratories,Pharmaceuticals,Research data accessed by unauthorized personnel,India,"$6,200,000",High,Unauthorized access,Economic Times
2018,MyFitnessPal,Technology,Data of 150 million users stolen,USA,$5 million,Moderate,Data breach,Company disclosure
2018,Cathay Pacific,Aviation,Data of 9.4 million passengers compromised,Hong Kong,$150 million,High,Cyberattack,Company disclosure
2018,Exactis,Technology,Personal data of 340 million individuals exposed,USA,$50 million,High,Misconfigured database,Security researcher report
2018,British Airways,Aviation,"Data of 500,000 customers compromised",UK,$100 million,High,Magecart attack,Company disclosure
2018,Chegg,Technology,Data of 40 million users breached,USA,$5 million,Moderate,Unauthorized access,Company disclosure
2018,Zomato,E-commerce,User accounts breached in a hacking incident,India,"$1,000,000",High,Hacking incident,Times of India
2018,Ticketmaster,Entertainment,Payment card data compromised,Global,$40 million,High,Third-party software vulnerability,Company disclosure
2018,T-Mobile,Telecommunications,Data of 2 million customers exposed,USA,$30 million,High,Unauthorized access,Company disclosure
2018,Google+,Technology,API bug exposed data of 52 million users,Global,$10 million,High,Software flaw,Company disclosure
2018,Bharat Electronics Limited (BEL),Aerospace,Confidential project details leaked due to phishing attack,India,"$8,000,000",High,Phishing attack,Business Today
2018,Macy's,Retail,Payment card data breach,USA,$20 million,Moderate,Point-of-sale compromise,Company disclosure
2018,Reddit,Technology,Data of undisclosed number of users compromised,USA,$5 million,Moderate,Unauthorized access,Company disclosure
2018,Under Armour,Retail,MyFitnessPal data breach,USA,$30 million,Moderate,Data breach,Company disclosure
2018,Dunkin' Donuts,Retail,Payment card data exposed,USA,$10 million,Moderate,Credential stuffing,Company disclosure
2018,Cathay Pacific,Aviation,"Further data breach affecting 185,000 customers",Hong Kong,$50 million,High,Cyberattack,Company disclosure
2018,Orbitz,Technology,"Data of 880,000 payment cards exposed",USA,$40 million,High,Cyberattack,Company disclosure
2018,Best Buy,Retail,Customer payment card data exposed,USA,$20 million,Moderate,Point-of-sale compromise,Company disclosure
2018,Paytm Mall,E-commerce,Customer data exposed due to misconfigured AWS bucket,India,"$2,500,000",High,Cloud misconfig,Livemint
2018,Facebook,Technology,Security flaw exposed photos of 6.8 million users,Global,$10 million,High,Software flaw,Company disclosure
2018,Twitter,Technology,Passwords stored in plaintext,Global,$15 million,High,Security oversight,Company disclosure
2018,SunTrust Banks,Financial Services,Employee theft of customer data,USA,$40 million,High,Insider breach,Company disclosure
2018,Saks Fifth Avenue,Retail,Payment card data breach,USA,$20 million,Moderate,Point-of-sale compromise,Company statement
2018,Delta Air Lines,Aviation,Third-party vendor data breach,USA,$30 million,High,Vendor breach,Company disclosure
2018,Adidas,Retail,Online store data breach,Global,$10 million,Moderate,Cyberattack,Company disclosure
2019,Capital One,Financial Services,Data of 100 million customers exposed,USA,$300 million,High,Insider breach,Company disclosure
2019,First American Financial Corporation,Financial Services,Millions of mortgage documents exposed,USA,$500 million,High,Website misconfiguration,Media reports
2019,Facebook,Technology,Millions of user passwords stored in plaintext,Global,$100 million,High,Security oversight,Company disclosure
2019,Canva,Technology,Data of 139 million users breached,Global,$10 million,Moderate,Data breach,Company disclosure
2019,Zynga,Technology,Data of 218 million users exposed,USA,$30 million,Moderate,Data breach,Company disclosure
2019,Ola Cabs,Transportation,Driver and passenger data exposed in cloud storage breach,India,"$1,800,000",High,Cloud breach,Livemint
2019,Desjardins Group,Financial Services,Employee theft of customer data,Canada,$70 million,High,Insider breach,Company disclosure
2019,CafePress,Retail,Data of 23 million users breached,USA,$10 million,Moderate,Data breach,Company disclosure
2019,MoviePass,Technology,Unsecured server exposed customer data,USA,$5 million,Moderate,Server misconfiguration,Security researcher report
2019,Suprema,Technology,Biometric data of millions exposed,Global,$20 million,High,Data breach,Security researcher report
2019,UrbanClap (now Urban Company),Services,Customer information accessed by unauthorized party,India,"$1,200,000",High,Unauthorized access,Economic Times
2019,Adobe,Technology,Database with 7.5 million Creative Cloud user records exposed,Global,$20 million,Moderate,Server misconfiguration,Security researcher report
2019,Wawa,Retail,Payment card data breach,USA,$40 million,High,Malware attack,Company disclosure
2019,Estée Lauder,Retail,Misconfigured database exposed customer data,USA,$10 million,Moderate,Data breach,Security researcher report
2019,DoorDash,Technology,Data of 4.9 million users breached,USA,$5 million,Moderate,Unauthorized access,Company disclosure
2019,Biostar 2,Technology,Biometric data of millions exposed,Global,$30 million,High,Data breach,Security researcher report
2019,Georgia Tech,Education,Data of 1.3 million individuals exposed,USA,$10 million,High,Unauthorized access,Company disclosure
2019,Jio (Reliance Jio Infocomm),Telecommunications,User data leaked on the web,India,"$5,500,000",High,Web leak,Times of India
2019,StockX,Retail,Data breach affecting millions of users,USA,$5 million,Moderate,Data breach,Company disclosure
2019,MGM Resorts,Hospitality,Data of 10.6 million guests exposed,USA,$20 million,Moderate,Unauthorized access,Company disclosure
2019,Mixcloud,Technology,Data of 21 million users exposed,Global,$10 million,Moderate,Data breach,Company disclosure
2019,Evite,Technology,Data of 101 million users breached,USA,$5 million,Moderate,Unauthorized access,Company disclosure
2019,DoorDash,Technology,Additional data breach affecting 4.9 million users,USA,$5 million,Moderate,Unauthorized access,Company disclosure
2019,Tata Steel,Manufacturing,Employee records compromised due to cyber attack,India,"$3,000,000",High,Cyber attack,The Hindu
2019,Zoll Medical,Healthcare,Patient data of millions exposed,Global,$10 million,High,Data breach,Security researcher report
2019,Macy's,Retail,Data breach exposing customer data,USA,$15 million,Moderate,Unauthorized access,Company disclosure
2019,DoorDash,Technology,Another data breach affecting 4.9 million users,USA,$5 million,Moderate,Unauthorized access,Company disclosure
2019,Suprema,Technology,Biometric data of millions exposed again,Global,$30 million,High,Data breach,Security researcher report
2019,Quest Diagnostics,Healthcare,Data of 12 million patients exposed,USA,$50 million,High,Data breach,Company disclosure
2020,Marriott International,Hospitality,Data of 5.2 million guests exposed,Global,$25 million,Moderate,Unauthorized access,Company disclosure
2020,Swiggy,E-commerce,User data compromised in a hacking incident,India,"$1,200,000",High,Hacking incident,The Hindu
2020,Estée Lauder,Retail,Customer data exposed on unsecured server,USA,$20 million,Moderate,Misconfigured server,Security researcher report
2020,EasyJet,Aviation,Data of 9 million customers breached,UK,$10 million,Moderate,Cyberattack,Company disclosure
2020,"University of California, San Francisco",Education,"Data breach affecting 10,000 individuals",USA,$5 million,Moderate,Unauthorized access,University statement
2020,Apollo Hospitals,Healthcare,Patient records exposed in a cyber attack,India,"$2,700,000",High,Cyber attack,Business Today
2020,Magellan Health,Healthcare,"Data of 365,000 patients breached",USA,$15 million,Moderate,Ransomware attack,Company disclosure
2020,Twitter,Technology,Hackers gained access to high-profile accounts,Global,$30 million,High,Social engineering,Company disclosure
2020,Home Chef,Retail,Data of 8 million customers exposed,USA,$10 million,Moderate,Unauthorized access,Company disclosure
2020,Blackbaud,Technology,Data of millions of users exposed,Global,$20 million,Moderate,Ransomware attack,Company disclosure
2020,Dave & Buster's,Retail,Payment card data breach,USA,$10 million,Moderate,Point-of-sale compromise,Company disclosure
2020,Mahindra & Mahindra Financial Services,Financial Services,Customer data breached through phishing scam,India,"$1,500,000",High,Phishing scam,Economic Times
2020,Carnival Corporation,Hospitality,"Data of 5,200 individuals compromised",USA,$5 million,Moderate,Unauthorized access,Company disclosure
2020,Nitro Software,Technology,Data of millions of users exposed,Global,$5 million,Moderate,Unauthorized access,Company disclosure
2020,San Francisco International Airport,Aviation,Data breach affecting travelers,USA,$20 million,Moderate,Insider breach,Company disclosure
2020,Canon,Technology,Ransomware attack on company systems,Global,$40 million,High,Cyberattack,Company disclosure
2020,Barnes & Noble,Retail,Customer data exposed in cyberattack,USA,$10 million,Moderate,Cyberattack,Company disclosure
2020,University Hospital New Jersey,Healthcare,"Data of 240,000 patients exposed",USA,$30 million,High,Ransomware attack,Company disclosure
2020,MGM Resorts,Hospitality,Data of 10.6 million guests exposed,USA,$20 million,Moderate,Unauthorized access,Company disclosure
2020,Wattpad,Technology,Data of 270 million users exposed,Global,$10 million,Moderate,Data breach,Company disclosure
2020,Myntra,E-commerce,Customer accounts compromised due to credential stuffing,India,"$900,000",Moderate,Credential stuffing,Times of India
2020,Garmin,Technology,Ransomware attack on company systems,Global,$10 million,Moderate,Cyberattack,Company disclosure
2020,Blackbaud,Technology,Additional data breach affecting millions,Global,$15 million,Moderate,Ransomware attack,Company disclosure
2020,J.Crew,Retail,Payment card data breach,USA,$10 million,Moderate,Point-of-sale compromise,Company disclosure
2020,Puma,Retail,Data breach affecting online store,Global,$5 million,Moderate,Cyberattack,Company disclosure
2020,Carnival Corporation,Hospitality,"Another data breach affecting 5,200 individuals",USA,$5 million,Moderate,Unauthorized access,Company disclosure
2020,VillageMD,Healthcare,"Patient data of 40,000 exposed",USA,$5 million,Moderate,Data breach,Company disclosure
2020,EasyJet,Aviation,Additional data breach affecting 9 million customers,UK,$5 million,Moderate,Cyberattack,Company disclosure
2021,Colonial Pipeline,Energy,Ransomware attack on pipeline systems,USA,$4.4 million,High,Cyberattack,Company disclosure
2021,Electronic Arts,Technology,Data of 780 million users stolen,Global,$30 million,High,Unauthorized access,Company disclosure
2021,T-Mobile,Telecommunications,Data of 100 million customers exposed,USA,$100 million,High,Cyberattack,Company disclosure
2021,LinkedIn,Technology,Data of 700 million users leaked,Global,$25 million,High,Unauthorized access,Company disclosure
2021,Facebook,Technology,Data of 533 million users exposed,Global,$50 million,High,Unauthorized access,Company disclosure
2021,JBS USA,Food,Ransomware attack on meat processing plants,USA,$11 million,High,Cyberattack,Company disclosure
2021,Microsoft,Technology,Data of 38 million users exposed,Global,$30 million,High,Unauthorized access,Company disclosure
2021,Air India,Aviation,Data of 4.5 million customers compromised,India,$20 million,High,Cyberattack,Company disclosure
2021,Experian,Financial Services,Data of 24 million South Africans leaked,South Africa,$10 million,High,Unauthorized access,Company disclosure
2021,Acer,Technology,Ransomware attack on company systems,Taiwan,$50 million,High,Cyberattack,Company disclosure
2021,New York City Law Department,Government,Data of 1 million compromised in cyberattack,USA,$5 million,High,Cyberattack,City statement
2021,Ubiquiti,Technology,Unauthorized access to customer data,USA,$50 million,High,Insider breach,Company disclosure
2021,CD Projekt,Technology,Data of employees and contractors exposed,Poland,$10 million,High,Cyberattack,Company disclosure
2021,Volkswagen,Automotive,Vendor data exposed in data leak,Global,$20 million,High,Unauthorized access,Media reports
2021,Dabur India,Consumer Goods,Confidential business strategy accessed through cyber breach,India,"$1,000,000",Moderate,NA ,
2021,Electronic Arts,Technology,Source code and tools stolen in hack,Global,$25 million,High,Unauthorized access,Company disclosure
2021,Kawasaki Heavy Industries,Manufacturing,Ransomware attack on company systems,Japan,$20 million,High,Cyberattack,Company disclosure
2021,San Francisco Municipal Railway,Transportation,Data breach affecting transit system,USA,$5 million,High,Cyberattack,Company disclosure
2021,SITA,Technology,Airline passenger data breach,Global,$10 million,High,Cyberattack,Company disclosure
2021,ANU,Education,Data breach affecting students and staff,Australia,$20 million,High,Cyberattack,University statement
2021,Axis Bank,Financial Services,Customer data exposed due to a third-party vendor breach,India,"$3,200,000",High,Vendor breach,Times of India
2021,AT&T,Telecommunications,Unauthorized access to customer data,USA,$30 million,High,Insider breach,Company disclosure
2021,CNA Financial,Insurance,Ransomware attack on insurance systems,USA,$40 million,High,Cyberattack,Company disclosure
2021,Peloton,Technology,Data of 4 million users exposed,USA,$10 million,High,Unauthorized access,Company disclosure
2021,San Francisco International Airport,Aviation,Data breach affecting travelers,USA,$20 million,High,Insider breach,Company disclosure
2021,EA Sports,Technology,Data of millions of users stolen,Global,$25 million,High,Unauthorized access,Company disclosure
2021,Harris Federation,Education,Ransomware attack on school systems,UK,$10 million,High,Cyberattack,Company disclosure
2021,Nykaa,E-commerce,Customer data breached due to supply chain attack,India,"$4,000,000",High,Supply chain attack,Economic Times
2022,Marriott International,Hospitality,Compromised employee access to 20GB of data,USA,5000000,High,Phishing,IBM Report​ (IBM Newsroom)​
2022,Shields Health Care Group,Healthcare,Data breach impacting 2 million people,USA,10000000,High,Ransomware,ThreatAdvice​ (Threat Advice)​
2022,Crypto.com,Finance,Unauthorized access to 483 user accounts,USA,34000000,High,Phishing,Hartman Advisors​ (Hartman Executive Advisors)​
2022,Twitter,Social Media,Data breach affecting 5.4 million accounts,USA,1500000,High,API Exploit,IBM Report​ (IBM Newsroom)​
2022,Cash App,Finance,Former employee downloaded reports containing U.S. customer data,USA,8000000,Moderate,Insider Threat,ThreatAdvice​ (Threat Advice)​
2022,Titan Company,Consumer Goods,Intellectual property stolen through insider threat,India,"$4,800,000",High,Insider threat,Livemint
2022,Medibank Private,Healthcare,Cyberattack compromised personal data,Australia,35000000,High,Ransomware,IBM Report​ (IBM Newsroom)​
2022,Neopets,Online Gaming,Data breach affecting 69 million users,USA,2900000,High,Phishing,ThreatAdvice​ (Threat Advice)​
2022,Uber,Transportation,Attack on vendor exposed driver and customer data,USA,20000000,High,Phishing,Hartman Advisors​ (Hartman Executive Advisors)​
2022,Indian Bank,Financial Services,Customer accounts compromised due to phishing attack,India,"$2,200,000",High,Phishing attack,Business Today
2022,Flagstar Bank,Finance,Hack exposed data of 1.5 million customers,USA,4000000,Moderate,Malware,IBM Report​ (IBM Newsroom)​
2022,Marriott Vacations Worldwide,Hospitality,Unauthorized access to over 5 million guest records,USA,15000000,High,Phishing,ThreatAdvice​ (Threat Advice)​
2022,Samsung Electronics,Technology,Hackers stole internal company data,South Korea,12000000,High,Malware,Hartman Advisors​ (Hartman Executive Advisors)​
2022,American Airlines,Aviation,Phishing attack compromised customer and employee data,USA,5000000,High,Phishing,IBM Report​ (IBM Newsroom)​
2022,Bharat Petroleum Corporation Limited (BPCL),Energy,Operational data breached due to ransomware attack,India,"$6,500,000",High,Ransomware attack,Economic Times
2022,Los Angeles Unified School District,Education,Ransomware attack disrupted district operations,USA,10000000,High,Ransomware,ThreatAdvice​ (Threat Advice)​
2022,Revolut,Finance,"Breach affected 50,000 customers' personal data",UK,2000000,High,Phishing,Hartman Advisors​ (Hartman Executive Advisors)​
2022,Facebook,Social Media,Leak exposed phone numbers of over 500 million users,USA,10000000,High,Data Scraping,IBM Report​ (IBM Newsroom)​
2022,Optus,Telecom,Cyberattack exposed personal data of nearly 10 million customers,Australia,10000000,High,Phishing,ThreatAdvice​ (Threat Advice)​
2022,AT&T,Telecom,Data breach exposed proprietary company information,USA,9000000,High,Insider Threat,Hartman Advisors​ (Hartman Executive Advisors)​
2022,"Block, Inc.",Technology,Former employee accessed customer data,USA,5000000,Moderate,Insider Threat,IBM Report​ (IBM Newsroom)​
2022,Coca-Cola,Beverage,Ransomware attack stole financial data,USA,20000000,High,Ransomware,ThreatAdvice​ (Threat Advice)​
2022,Byju's,EdTech,User data leaked in a cyber incident,India,"$3,000,000",High,Cyber incident,Times of India
2022,DoorDash,Delivery Service,Third-party vendor breach exposed customer data,USA,10000000,High,Third-Party Vendor,Hartman Advisors​ (Hartman Executive Advisors)​
2022,Nvidia,Technology,Ransomware attack affected company operations,USA,10000000,High,Ransomware,IBM Report​ (IBM Newsroom)​
2022,Plex,Streaming Service,Hack compromised personal information of users,USA,3000000,High,Phishing,ThreatAdvice​ (Threat Advice)​
2022,TransUnion,Credit Reporting,Unauthorized access to customer data,USA,7000000,High,Insider Threat,Hartman Advisors​ (Hartman Executive Advisors)​
2022,T-Mobile,Telecom,Data breach affecting 37 million customers,USA,50000000,High,API Exploit,IBM Report​ (IBM Newsroom)​
2022,Robinhood,Finance,Data breach affecting 7 million customers,USA,10000000,High,Phishing,ThreatAdvice​ (Threat Advice)​
2023,Latitude Financial,Financial Services,Unauthorized access and data theft,Australia,"50,000,000",High,Phishing,TechCrunch
2023,LastPass,Software,Data leak including vaults,USA,"50,000,000",High,Hacking,Forbes
2023,UK Electoral Commission,Government,Unauthorized access to electoral registers,UK,"2,000,000",High,Cyber-attack,BBC News
2023,DISH Network,Telecommunications,Ransomware attack causing service outage,USA,"30,000,000",High,Ransomware,BleepingComputer
2023,Vedanta Limited,Mining,Environmental impact assessment data leaked in cyber incident,India,"$3,700,000",High,Cyber incident,The Hindu
2023,Yum! Brands,Food Services,Ransomware affecting operations,USA,"20,000,000",Moderate,Ransomware,Security Magazine
2023,Swedish Transport Agency,Government,Data leak of personal records,Sweden,"10,000,000",High,Human error,NordLayer
2023,PharMerica,Healthcare,Data breach exposing personal health information,USA,"4,000,000",High,Hacking,HealthITSecurity
2023,Tata Power,Energy,Cyberattack disrupting operations,India,"5,000,000",Moderate,Cyber-attack,CyberSecurity News
2023,Hyundai,Automotive,Data leak impacting customers,South Korea,"3,000,000",Moderate,Hacking,Cyber Security Connect
2023,OpenAI,Technology,Unauthorized data access,USA,"2,500,000",Moderate,Phishing,Wired
2023,Microsoft,Technology,Data breach of customer email accounts,USA,"20,000,000",High,Hacking,The Verge
2023,Boeing,Aerospace,Data leak through vendor,USA,"15,000,000",High,Third-party breach,TechRepublic
2023,Toyota,Automotive,Cyberattack disrupting production,Japan,"25,000,000",High,Cyber-attack,Reuters
2023,Medibank,Healthcare,Data theft impacting millions,Australia,"35,000,000",High,Hacking,ABC News
2023,Dropbox,Technology,Unauthorized access to user data,USA,"10,000,000",Moderate,Phishing,The Register
2023,Hindustan Aeronautics Limited (HAL),Aerospace,Classified military project details breached in cyber attack,India,"$10,000,000",High,Cyber attack,Economic Times
2023,Marriott,Hospitality,Data breach of guest information,USA,"15,000,000",High,Hacking,Hospitality Net
2023,Optus,Telecommunications,Unauthorized access to customer data,Australia,"25,000,000",High,Hacking,The Guardian
2023,Indonesia Immigration,Government,Data leak of passport information,Indonesia,"10,000",High,Cyber-attack,CPO Magazine
2023,Twitter,Social Media,Data breach exposing user data,USA,"8,000,000",High,Hacking,CNN Business
2023,OYO Rooms,Hospitality,Guest reservation data compromised in a data breach,India,"$1,500,000",High,Data breach,Times of India
2023,PayPal,Financial Services,Data breach of user accounts,USA,"12,000,000",High,Credential stuffing,SecurityWeek
2023,Zoom,Technology,Data leak impacting users,USA,"3,000,000",Moderate,Hacking,ZDNet
2023,Biocon,Pharmaceuticals,Research and development data breached due to phishing scam,India,"$5,200,000",High,Phishing scam,Livemint
2023,Sony,Entertainment,Data breach impacting user accounts,USA,"7,000,000",High,Hacking,Polygon
2023,Apple,Technology,Data breach exposing customer info,USA,"25,000,000",High,Phishing,TechCrunch
2023,Capital One,Financial Services,Data breach exposing customer data,USA,"30,000,000",High,Hacking,Reuters